 time            v(n.x4.xr1.n1#ngap) i(v10)         
 2.30280000e-07  2.65130452e+00 -6.09580186e-07 
 2.31280000e-07  2.65130452e+00 -6.09580191e-07 
 2.32280000e-07  2.65130452e+00 -6.09580226e-07 
 2.33280000e-07  2.65130452e+00 -6.09580199e-07 
 2.34280000e-07  2.65130452e+00 -6.09580245e-07 
 2.35280000e-07  2.65130452e+00 -6.09580215e-07 
 2.36280000e-07  2.65130452e+00 -6.09580194e-07 
 2.37280000e-07  2.65130452e+00 -6.09580187e-07 
 2.38280000e-07  2.65130452e+00 -6.09580191e-07 
 2.39280000e-07  2.65130452e+00 -6.09580231e-07 
 2.40280000e-07  2.65130452e+00 -6.09580190e-07 
 2.41280000e-07  2.65130452e+00 -6.09580196e-07 
 2.42280000e-07  2.65130452e+00 -6.09580181e-07 
 2.43280000e-07  2.65130452e+00 -6.09580291e-07 
 2.44280000e-07  2.65130452e+00 -6.09580181e-07 
 2.45280000e-07  2.65130452e+00 -6.09580257e-07 
 2.46280000e-07  2.65130452e+00 -6.09580220e-07 
 2.47280000e-07  2.65130452e+00 -6.09580286e-07 
 2.48280000e-07  2.65130452e+00 -6.09580185e-07 
 2.49280000e-07  2.65130452e+00 -6.09580241e-07 
 2.50280000e-07  2.65130452e+00 -6.09580286e-07 
 2.51280000e-07  2.65130452e+00 -6.09580222e-07 
 2.52280000e-07  2.65130452e+00 -6.09580216e-07 
 2.53280000e-07  2.65130452e+00 -6.09580219e-07 
 2.54280000e-07  2.65130452e+00 -6.09580222e-07 
 2.55280000e-07  2.65130452e+00 -6.09580191e-07 
 2.56280000e-07  2.65130452e+00 -6.09580216e-07 
 2.57280000e-07  2.65130452e+00 -6.09580191e-07 
 2.58280000e-07  2.65130452e+00 -6.09580185e-07 
 2.59280000e-07  2.65130452e+00 -6.09580186e-07 
 2.60280000e-07  2.65130452e+00 -6.09580157e-07 
 2.61280000e-07  2.65130452e+00 -6.09580164e-07 
 2.62280000e-07  2.65130452e+00 -6.09580216e-07 
 2.63280000e-07  2.65130452e+00 -6.09580261e-07 
 2.64280000e-07  2.65130452e+00 -6.09580247e-07 
 2.65280000e-07  2.65130452e+00 -6.09580220e-07 
 2.66280000e-07  2.65130452e+00 -6.09580224e-07 
 2.67280000e-07  2.65130452e+00 -6.09580252e-07 
 2.68280000e-07  2.65130452e+00 -6.09580220e-07 
 2.69280000e-07  2.65130452e+00 -6.09580191e-07 
 2.70280000e-07  2.65130452e+00 -6.09580192e-07 
 2.71280000e-07  2.65130452e+00 -6.09580163e-07 
 2.72280000e-07  2.65130452e+00 -6.09580190e-07 
 2.73280000e-07  2.65130452e+00 -6.09580225e-07 
 2.74280000e-07  2.65130452e+00 -6.09580256e-07 
 2.75280000e-07  2.65130452e+00 -6.09580189e-07 
 2.76280000e-07  2.65130452e+00 -6.09580247e-07 
 2.77280000e-07  2.65130452e+00 -6.09580220e-07 
 2.78280000e-07  2.65130452e+00 -6.09580216e-07 
 2.79280000e-07  2.65130452e+00 -6.09580169e-07 
 2.80280000e-07  2.65130452e+00 -6.09580247e-07 
 2.81280000e-07  2.65130452e+00 -6.09580227e-07 
 2.82280000e-07  2.65130452e+00 -6.09580213e-07 
 2.83280000e-07  2.65130452e+00 -6.09580224e-07 
 2.84280000e-07  2.65130452e+00 -6.09580211e-07 
 2.85280000e-07  2.65130452e+00 -6.09580190e-07 
 2.86280000e-07  2.65130452e+00 -6.09580286e-07 
 2.87280000e-07  2.65130452e+00 -6.09580249e-07 
 2.88280000e-07  2.65130452e+00 -6.09580214e-07 
 2.89280000e-07  2.65130452e+00 -6.09580180e-07 
 2.90280000e-07  2.65130452e+00 -6.09580189e-07 
 2.91280000e-07  2.65130452e+00 -6.09580191e-07 
 2.92280000e-07  2.65130452e+00 -6.09580221e-07 
 2.93280000e-07  2.65130452e+00 -6.09580192e-07 
 2.94280000e-07  2.65130452e+00 -6.09580183e-07 
 2.95280000e-07  2.65130452e+00 -6.09580290e-07 
 2.96280000e-07  2.65130452e+00 -6.09580189e-07 
 2.97280000e-07  2.65130452e+00 -6.09580257e-07 
 2.98280000e-07  2.65130452e+00 -6.09580185e-07 
 2.99280000e-07  2.65130452e+00 -6.09580189e-07 
 3.00280000e-07  2.65130452e+00 -6.09580190e-07 
 3.01280000e-07  2.65130452e+00 -6.09580253e-07 
 3.02280000e-07  2.65130452e+00 -6.09580216e-07 
 3.03280000e-07  2.65130452e+00 -6.09580229e-07 
 3.04280000e-07  2.65130452e+00 -6.09580226e-07 
 3.05280000e-07  2.65130452e+00 -6.09580248e-07 
 3.06280000e-07  2.65130452e+00 -6.09580214e-07 
 3.07280000e-07  2.65130452e+00 -6.09580179e-07 
 3.08280000e-07  2.65130452e+00 -6.09580228e-07 
 3.09280000e-07  2.65130452e+00 -6.09580252e-07 
 3.10280000e-07  2.65130452e+00 -6.09580220e-07 
 3.11280000e-07  2.65130452e+00 -6.09580177e-07 
 3.12280000e-07  2.65130452e+00 -6.09580250e-07 
 3.13280000e-07  2.65130452e+00 -6.09580256e-07 
 3.14280000e-07  2.65130452e+00 -6.09580219e-07 
 3.15280000e-07  2.65130452e+00 -6.09580250e-07 
 3.16280000e-07  2.65130452e+00 -6.09580190e-07 
 3.17280000e-07  2.65130452e+00 -6.09580191e-07 
 3.18280000e-07  2.65130452e+00 -6.09580189e-07 
 3.19280000e-07  2.65130452e+00 -6.09580219e-07 
 3.20280000e-07  2.65130452e+00 -6.09580243e-07 
 3.21280000e-07  2.65130452e+00 -6.09580167e-07 
 3.22280000e-07  2.65130452e+00 -6.09580214e-07 
 3.23280000e-07  2.65130452e+00 -6.09580229e-07 
 3.24280000e-07  2.65130452e+00 -6.09580257e-07 
 3.25280000e-07  2.65130452e+00 -6.09580250e-07 
 3.26280000e-07  2.65130452e+00 -6.09580225e-07 
 3.27280000e-07  2.65130452e+00 -6.09580193e-07 
 3.28280000e-07  2.65130452e+00 -6.09580189e-07 
 3.29280000e-07  2.65130452e+00 -6.09580244e-07 
 3.30280000e-07  2.65130452e+00 -6.09580239e-07 
 3.31280000e-07  2.65130452e+00 -6.09580185e-07 
 3.32280000e-07  2.65130452e+00 -6.09580250e-07 
 3.33280000e-07  2.65130452e+00 -6.09580254e-07 
 3.34280000e-07  2.65130452e+00 -6.09580198e-07 
 3.35280000e-07  2.65130452e+00 -6.09580194e-07 
 3.36280000e-07  2.65130452e+00 -6.09580215e-07 
 3.37280000e-07  2.65130452e+00 -6.09580180e-07 
 3.38280000e-07  2.65130452e+00 -6.09580220e-07 
 3.39280000e-07  2.65130452e+00 -6.09580171e-07 
 3.40280000e-07  2.65130452e+00 -6.09580197e-07 
 3.41280000e-07  2.65130452e+00 -6.09580217e-07 
 3.42280000e-07  2.65130452e+00 -6.09580177e-07 
 3.43280000e-07  2.65130452e+00 -6.09580253e-07 
 3.44280000e-07  2.65130452e+00 -6.09580188e-07 
 3.45280000e-07  2.65130452e+00 -6.09580158e-07 
 3.46280000e-07  2.65130452e+00 -6.09580192e-07 
 3.47280000e-07  2.65130452e+00 -6.09580187e-07 
 3.48280000e-07  2.65130452e+00 -6.09580194e-07 
 3.49280000e-07  2.65130452e+00 -6.09580198e-07 
 3.50280000e-07  2.65130452e+00 -6.09580224e-07 
 3.51280000e-07  2.65130452e+00 -6.09580223e-07 
 3.52280000e-07  2.65130452e+00 -6.09580220e-07 
 3.53280000e-07  2.65130452e+00 -6.09580191e-07 
 3.54280000e-07  2.65130452e+00 -6.09580220e-07 
 3.55280000e-07  2.65130452e+00 -6.09580159e-07 
 3.56280000e-07  2.65130452e+00 -6.09580183e-07 
 3.57280000e-07  2.65130452e+00 -6.09580217e-07 
 3.58280000e-07  2.65130452e+00 -6.09580163e-07 
 3.59280000e-07  2.65130452e+00 -6.09580186e-07 
 3.60280000e-07  2.65130452e+00 -6.09580229e-07 
 3.61280000e-07  2.65130452e+00 -6.09580191e-07 
 3.62280000e-07  2.65130452e+00 -6.09580225e-07 
 3.63280000e-07  2.65130452e+00 -6.09580221e-07 
 3.64280000e-07  2.65130452e+00 -6.09580246e-07 
 3.65280000e-07  2.65130452e+00 -6.09580223e-07 
 3.66280000e-07  2.65130452e+00 -6.09580217e-07 
 3.67280000e-07  2.65130452e+00 -6.09580163e-07 
 3.68280000e-07  2.65130452e+00 -6.09580220e-07 
 3.69280000e-07  2.65130452e+00 -6.09580192e-07 
 3.70280000e-07  2.65130452e+00 -6.09580224e-07 
 3.71280000e-07  2.65130452e+00 -6.09580183e-07 
 3.72280000e-07  2.65130452e+00 -6.09580228e-07 
 3.73280000e-07  2.65130452e+00 -6.09580227e-07 
 3.74280000e-07  2.65130452e+00 -6.09580217e-07 
 3.75280000e-07  2.65130452e+00 -6.09580227e-07 
 3.76280000e-07  2.65130452e+00 -6.09580224e-07 
 3.77280000e-07  2.65130452e+00 -6.09580220e-07 
 3.78280000e-07  2.65130452e+00 -6.09580286e-07 
 3.79280000e-07  2.65130452e+00 -6.09580251e-07 
 3.80280000e-07  2.65130452e+00 -6.09580238e-07 
 3.81280000e-07  2.65130452e+00 -6.09580189e-07 
 3.82280000e-07  2.65130452e+00 -6.09580219e-07 
 3.83280000e-07  2.65130452e+00 -6.09580179e-07 
 3.84280000e-07  2.65130452e+00 -6.09580181e-07 
 3.85280000e-07  2.65130452e+00 -6.09580192e-07 
 3.86280000e-07  2.65130452e+00 -6.09580160e-07 
 3.87280000e-07  2.65130452e+00 -6.09580165e-07 
 3.88280000e-07  2.65130452e+00 -6.09580192e-07 
 3.89280000e-07  2.65130452e+00 -6.09580224e-07 
 3.90280000e-07  2.65130452e+00 -6.09580229e-07 
 3.91280000e-07  2.65130452e+00 -6.09580259e-07 
 3.92280000e-07  2.65130452e+00 -6.09580223e-07 
 3.93280000e-07  2.65130452e+00 -6.09580191e-07 
 3.94280000e-07  2.65130452e+00 -6.09580225e-07 
 3.95280000e-07  2.65130452e+00 -6.09580181e-07 
 3.96280000e-07  2.65130452e+00 -6.09580216e-07 
 3.97280000e-07  2.65130452e+00 -6.09580250e-07 
 3.98280000e-07  2.65130452e+00 -6.09580256e-07 
 3.99280000e-07  2.65130452e+00 -6.09580217e-07 
 4.00280000e-07  2.65130452e+00 -6.09580188e-07 
 4.01280000e-07  2.65130452e+00 -6.09580217e-07 
 4.02280000e-07  2.65130452e+00 -6.09580190e-07 
 4.03280000e-07  2.65130452e+00 -6.09580222e-07 
 4.04280000e-07  2.65130452e+00 -6.09580223e-07 
 4.05280000e-07  2.65130452e+00 -6.09580183e-07 
 4.06280000e-07  2.65130452e+00 -6.09580195e-07 
 4.07280000e-07  2.65130452e+00 -6.09580247e-07 
 4.08280000e-07  2.65130452e+00 -6.09580249e-07 
 4.09280000e-07  2.65130452e+00 -6.09580190e-07 
 4.10280000e-07  2.65130452e+00 -6.09580220e-07 
 4.11280000e-07  2.65130452e+00 -6.09580187e-07 
 4.12280000e-07  2.65130452e+00 -6.09580221e-07 
 4.13280000e-07  2.65130452e+00 -6.09580249e-07 
 4.14280000e-07  2.65130452e+00 -6.09580190e-07 
 4.15280000e-07  2.65130452e+00 -6.09580227e-07 
 4.16280000e-07  2.65130452e+00 -6.09580220e-07 
 4.17280000e-07  2.65130452e+00 -6.09580154e-07 
 4.18280000e-07  2.65130452e+00 -6.09580251e-07 
 4.19280000e-07  2.65130452e+00 -6.09580156e-07 
 4.20280000e-07  2.65130452e+00 -6.09580213e-07 
 4.21280000e-07  2.65130452e+00 -6.09580198e-07 
 4.22280000e-07  2.65130452e+00 -6.09580198e-07 
 4.23280000e-07  2.65130452e+00 -6.09580198e-07 
 4.24280000e-07  2.65130452e+00 -6.09580183e-07 
 4.25280000e-07  2.65130452e+00 -6.09580200e-07 
 4.26280000e-07  2.65130452e+00 -6.09580255e-07 
 4.27280000e-07  2.65130452e+00 -6.09580243e-07 
 4.28280000e-07  2.65130452e+00 -6.09580218e-07 
 4.29280000e-07  2.65130452e+00 -6.09580189e-07 
 4.30280000e-07  2.65130452e+00 -6.09580248e-07 
 4.31280000e-07  2.65130452e+00 -6.09580197e-07 
 4.32280000e-07  2.65130452e+00 -6.09580182e-07 
 4.33280000e-07  2.65130452e+00 -6.09580219e-07 
 4.34280000e-07  2.65130452e+00 -6.09580212e-07 
 4.35280000e-07  2.65130452e+00 -6.09580193e-07 
 4.36280000e-07  2.65130452e+00 -6.09580216e-07 
 4.37280000e-07  2.65130452e+00 -6.09580194e-07 
 4.38280000e-07  2.65130452e+00 -6.09580192e-07 
 4.39280000e-07  2.65130452e+00 -6.09580182e-07 
 4.40280000e-07  2.65130452e+00 -6.09580190e-07 
 4.41280000e-07  2.65130452e+00 -6.09580251e-07 
 4.42280000e-07  2.65130452e+00 -6.09580198e-07 
 4.43280000e-07  2.65130452e+00 -6.09580223e-07 
 4.44280000e-07  2.65130452e+00 -6.09580218e-07 
 4.45280000e-07  2.65130452e+00 -6.09580184e-07 
 4.46280000e-07  2.65130452e+00 -6.09580157e-07 
 4.47280000e-07  2.65130452e+00 -6.09580261e-07 
 4.48280000e-07  2.65130452e+00 -6.09580254e-07 
 4.49280000e-07  2.65130452e+00 -6.09580189e-07 
 4.50280000e-07  2.65130452e+00 -6.09580222e-07 
 4.51280000e-07  2.65130452e+00 -6.09580162e-07 
 4.52280000e-07  2.65130452e+00 -6.09580160e-07 
 4.53280000e-07  2.65130452e+00 -6.09580154e-07 
 4.54280000e-07  2.65130452e+00 -6.09580193e-07 
 4.55280000e-07  2.65130452e+00 -6.09580226e-07 
