Archivo,Primer Umbral Superado,Segundo Umbral Superado,Inversa
45,0.00116881169,0.0116703806,95.22386688790485
46,7.228e-06,0.0105645083,94.72136493335314
47,0.0011416342,0.0110626052,100.79658533423795
48,0.00112832477,0.0108509489,102.85289101266531
49,0.00111461262,0.011345922,97.73920061050876
50,8.228e-06,0.0098635117,101.46841333446342
51,1.16705477e-08,0.00957787597,104.40740949495222
52,8.628e-06,0.00952531406,105.07859497468807
53,9.228e-06,0.00935244931,107.02946733475159
54,0.00104023693,0.0100830385,110.5851977685274
55,4.68334141e-08,0.00888045311,112.60746061096351
56,0.00101370399,0.00971674905,114.90231213395558
57,0.00100050204,0.00963160113,115.86009957394661
58,2.2828e-05,0.00856371053,117.08391919540898
59,0.000992156972,0.00953846953,117.00952816942365
60,2.1628e-05,0.00784747661,127.78166941821279
61,0.000949021383,0.00890748111,125.65245465870532
62,0.000936220668,0.0086413973,129.7828781558294
63,0.000923702134,0.00859909694,130.28645760583953
64,0.000911309916,0.00826819913,135.9270162852285
65,0.000918166891,0.00862250649,129.79697833280832
66,0.000887123455,0.00848583482,131.6012613146545
67,0.000896195757,0.00849021455,131.68258168149097
68,0.000889069725,0.00786936921,143.2603288940403
69,0.000851104674,0.00774335502,145.09049291576616
70,9.63550576e-07,0.00680733771,146.92110315672488
71,0.000827583441,0.0073064504,154.34797570752218
72,1.36920742e-06,0.00653233307,153.11675597068128
73,0.000804575164,0.00704392356,160.27314657426288
74,0.000793206811,0.00730046086,153.67465177630103
75,1.17193293e-06,0.00616433864,162.254251349856
76,0.000770713591,0.00703210453,159.70892246503124
77,1.16974122e-06,0.00592006483,168.9504519003258
78,1.56826992e-06,0.00577610253,173.17413923978452
79,1.1647546e-06,0.00568135055,176.0505793331325
80,0.000752434955,0.00650781466,173.75048237586265
81,0.00074170075,0.00636527461,177.82286227498753
82,0.000727776599,0.00600839713,189.37168352269924
83,9.41939634e-07,0.00522329419,191.4845939260257
84,0.000684788754,0.00593878844,190.33118762162024
85,0.000674435346,0.0058854828,191.89999876750304
86,0.00066417675,0.00551779083,206.03203788299544
87,0.000673158823,0.00575036591,196.95867882963898
88,0.000644295925,0.00559785825,201.87492038873256
89,2.6628e-05,0.00461442055,217.96975105162505
90,0.000624915946,0.00532147598,212.9217965405869
91,4.46456747e-08,0.00417493983,239.5269715403906
92,0.000627610335,0.00491778085,233.09096841340815
93,0.000596763913,0.00487476903,233.753811099053
94,0.000605799971,0.00481535941,237.5545504204959
95,8.0890879e-09,0.00407103978,245.63797973676637
96,0.000586445116,0.00470936647,242.54646502771976
97,7.08077053e-09,0.00399382936,250.38670478670633
98,7.57608284e-09,0.00391108712,255.6838818467101
99,6.69280234e-09,0.00367671585,271.98235085915445
100,6.4439447e-09,0.00368343422,271.4862516107026
101,4.99069598e-09,0.00364837702,274.0948543536457
102,4.99360782e-09,0.00358299215,279.09673028438397
103,7.31644832e-09,0.00343859065,290.8174393339799
104,6.90874116e-09,0.00325521,307.200494705012
105,1.02010564e-08,0.00319464939,313.02439519959654
106,0.000486576203,0.00374880175,306.53919711946884
107,0.000487642086,0.00371889685,309.47730000778114
108,0.000478849799,0.00354885071,325.7328023639795
109,1.2128e-05,0.00289006148,347.47154753556015
110,1.3928e-05,0.00282213424,356.09920160279967
111,0.000464577775,0.00347366763,332.32640040255626
112,6.7053229e-09,0.00289092343,345.9110362688481
113,0.000457239689,0.0032049782,363.9356496248489
114,0.000428637909,0.0031045953,373.6980279892655
115,7.128e-06,0.00249266194,402.32804063017545
116,0.000418302589,0.00300412077,386.72479269724806
117,5.528e-06,0.00237077759,422.78836205188816
118,0.000430916548,0.00295941509,395.4916261130278
119,2.8728e-05,0.00227506173,445.1698279044227
120,0.000418366897,0.00295131645,394.7966507329804
121,3.4128e-05,0.0021777387,466.5026163565987
122,0.000385732448,0.00261644957,448.28633363580735
123,0.000380618516,0.00271097298,429.1192672395096
124,1.2528e-05,0.00201515076,499.3451687326274
125,0.000370351928,0.00248840284,472.132182628101
126,0.000365471124,0.00250868841,466.58824867279463
127,0.00036045998,0.0023646708,498.94950671905866
128,0.00037273164,0.00242105445,488.2042982277778
129,0.000364400311,0.0023487197,503.95113082272064
130,0.00034634906,0.00227710887,517.9308139835374
131,4.9128e-05,0.00180377551,569.9150366673931
132,0.000337281164,0.00223344133,527.381609386683
133,2.0728e-05,0.0016809199,602.3400065980325
134,5.2328e-05,0.00166919373,618.4805463098039
135,0.000324449709,0.00205551023,577.6805535500974
136,0.000320170853,0.0020132568,590.63746986496
137,4.8728e-05,0.00161277354,639.3675723789986
138,0.000312069427,0.00190637727,627.2314373855841
139,2.6328e-05,0.00147662198,689.5153767376183
140,0.000304436166,0.00186765198,639.7069368439743
141,0.000300629738,0.00187904479,633.5469233728519
142,0.000296845594,0.00183168445,651.5341959781607
143,3.0128e-05,0.00135948511,752.2433155677785
144,3.1128e-05,0.00133247884,768.4322853320632
145,0.000286418242,0.00168618513,714.4046687865359
146,0.000283013294,0.00169211024,709.6743789266576
147,0.00025880614,0.00161240824,738.76953943851
148,0.000299599328,0.00156986225,787.2385965777248
149,0.000308589546,0.00162189688,761.4363935319346
150,0.00024838144,0.00154120347,773.5016706050407
151,0.000285397495,0.00145544353,854.6672268326605
152,1.6128e-05,0.00110857723,915.3743465039561
153,0.000238565012,0.00140444506,857.7211709861939
154,0.000235370366,0.00134637042,900.0899652521529
155,1.8128e-05,0.00104099856,977.6408072591317
156,0.000229150855,0.00130743846,927.3963600833564
157,0.000279568374,0.00137843072,910.0320924091433
158,0.000223336671,0.00123858799,984.9777895240537
159,2.0928e-05,0.000958039325,1067.1090758613977
160,0.000217798113,0.00121621499,1001.5856332524716
161,2.2328e-05,0.000918863114,1115.4052801550392
162,0.000212320947,0.00118812846,1024.792273760655
163,0.000209531199,0.00116177633,1050.1497644307724
164,2.4528e-05,0.00086393052,1191.3235619068666
165,0.000265084261,0.00115348569,1125.6172799334838
166,7.5128e-05,0.000878737104,1244.386101429732
167,7.9928e-05,0.000865225055,1273.4034765990561
168,0.000262697328,0.00112661375,1157.5193786511907
169,0.000214088569,0.00102080965,1239.585804253949
