time,v(n0),v(n1),v(n2),v(n3),v(n4),v(n5),v(n6),v(n7),v(n8),v(n9)
4.28227294e-05,3.14318732e-01,3.14318899e-01,3.14318819e-01,3.14318899e-01,3.14318968e-01,3.14318897e-01,3.14318737e-01,3.14318737e-01,3.14318779e-01,3.14318781e-01
4.28317136e-05,3.14318732e-01,3.14318899e-01,3.14318819e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318738e-01,3.14318779e-01,3.14318782e-01
4.28417136e-05,3.14318732e-01,3.14318899e-01,3.14318819e-01,3.14318900e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318738e-01,3.14318779e-01,3.14318782e-01
4.28517136e-05,3.14318731e-01,3.14318899e-01,3.14318819e-01,3.14318900e-01,3.14318970e-01,3.14318898e-01,3.14318737e-01,3.14318738e-01,3.14318780e-01,3.14318782e-01
4.28617136e-05,3.14318731e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318737e-01,3.14318737e-01,3.14318780e-01,3.14318782e-01
4.28717136e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318737e-01,3.14318736e-01,3.14318780e-01,3.14318782e-01
4.28817136e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318737e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.28829636e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318737e-01,3.14318736e-01,3.14318779e-01,3.14318782e-01
4.28854636e-05,3.14318733e-01,3.14318899e-01,3.14318819e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318737e-01,3.14318736e-01,3.14318780e-01,3.14318782e-01
4.28894506e-05,3.14318733e-01,3.14318899e-01,3.14318819e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318737e-01,3.14318736e-01,3.14318780e-01,3.14318782e-01
