v(vpre),time
3.52636640e-01,2.36255000e-06
3.52634646e-01,2.36265000e-06
3.52629771e-01,2.36275000e-06
3.52627792e-01,2.36285000e-06
3.52622933e-01,2.36295000e-06
3.52620969e-01,2.36305000e-06
3.52616126e-01,2.36315000e-06
3.52614177e-01,2.36325000e-06
3.52609350e-01,2.36335000e-06
3.52607417e-01,2.36345000e-06
3.52602605e-01,2.36355000e-06
3.52600687e-01,2.36365000e-06
3.52595891e-01,2.36375000e-06
3.52593988e-01,2.36385000e-06
3.52589208e-01,2.36395000e-06
3.52587321e-01,2.36405000e-06
3.52582557e-01,2.36415000e-06
3.52580686e-01,2.36425000e-06
3.52575937e-01,2.36435000e-06
3.52574081e-01,2.36445000e-06
3.52569349e-01,2.36455000e-06
3.52567509e-01,2.36465000e-06
3.52562793e-01,2.36475000e-06
3.52560968e-01,2.36485000e-06
3.52556268e-01,2.36495000e-06
3.52554459e-01,2.36505000e-06
3.52549775e-01,2.36515000e-06
3.52547982e-01,2.36525000e-06
3.52543314e-01,2.36535000e-06
3.52541537e-01,2.36545000e-06
3.52536886e-01,2.36555000e-06
3.52535124e-01,2.36565000e-06
3.52530489e-01,2.36575000e-06
3.52528744e-01,2.36585000e-06
3.52524125e-01,2.36595000e-06
3.52522395e-01,2.36605000e-06
3.52517793e-01,2.36615000e-06
3.52516080e-01,2.36625000e-06
3.52511494e-01,2.36635000e-06
3.52509796e-01,2.36645000e-06
3.52505227e-01,2.36655000e-06
3.52503546e-01,2.36665000e-06
3.52498993e-01,2.36675000e-06
3.52497328e-01,2.36685000e-06
3.52492792e-01,2.36695000e-06
3.52491143e-01,2.36705000e-06
3.52486624e-01,2.36715000e-06
3.52484991e-01,2.36725000e-06
3.52480488e-01,2.36735000e-06
3.52478872e-01,2.36745000e-06
3.52474386e-01,2.36755000e-06
3.52472786e-01,2.36765000e-06
3.52468317e-01,2.36775000e-06
3.52466734e-01,2.36785000e-06
3.52462282e-01,2.36795000e-06
3.52460715e-01,2.36805000e-06
3.52456280e-01,2.36815000e-06
3.52454729e-01,2.36825000e-06
3.52450312e-01,2.36835000e-06
3.52448778e-01,2.36845000e-06
3.52444377e-01,2.36855000e-06
3.52442860e-01,2.36865000e-06
3.52438476e-01,2.36875000e-06
3.52436976e-01,2.36885000e-06
3.52432609e-01,2.36895000e-06
3.52431126e-01,2.36905000e-06
3.52426777e-01,2.36915000e-06
3.52425310e-01,2.36925000e-06
3.52420978e-01,2.36935000e-06
3.52419528e-01,2.36945000e-06
3.52415214e-01,2.36955000e-06
3.52413781e-01,2.36965000e-06
3.52409484e-01,2.36975000e-06
3.52408068e-01,2.36985000e-06
3.52403789e-01,2.36995000e-06
3.52402390e-01,2.37005000e-06
3.52398128e-01,2.37015000e-06
3.52396747e-01,2.37025000e-06
3.52392502e-01,2.37035000e-06
3.52391138e-01,2.37045000e-06
3.52386912e-01,2.37055000e-06
3.52385565e-01,2.37065000e-06
3.52381356e-01,2.37075000e-06
3.52380026e-01,2.37085000e-06
3.52375835e-01,2.37095000e-06
3.52374523e-01,2.37105000e-06
3.52370350e-01,2.37115000e-06
3.52369055e-01,2.37125000e-06
3.52364900e-01,2.37135000e-06
3.52363623e-01,2.37145000e-06
3.52359486e-01,2.37155000e-06
3.52358227e-01,2.37165000e-06
3.52354108e-01,2.37175000e-06
3.52352866e-01,2.37185000e-06
3.52348765e-01,2.37195000e-06
3.52347541e-01,2.37205000e-06
3.52343458e-01,2.37215000e-06
3.52342252e-01,2.37225000e-06
3.52338188e-01,2.37235000e-06
3.52336999e-01,2.37245000e-06
3.52332954e-01,2.37255000e-06
3.52331783e-01,2.37265000e-06
3.52327756e-01,2.37275000e-06
3.52326603e-01,2.37285000e-06
3.52322594e-01,2.37295000e-06
3.52321460e-01,2.37305000e-06
3.52317470e-01,2.37315000e-06
3.52316354e-01,2.37325000e-06
3.52312382e-01,2.37335000e-06
3.52311284e-01,2.37345000e-06
3.52307331e-01,2.37355000e-06
3.52306252e-01,2.37365000e-06
3.52302317e-01,2.37375000e-06
3.52301256e-01,2.37385000e-06
3.52297341e-01,2.37395000e-06
3.52296298e-01,2.37405000e-06
3.52292402e-01,2.37415000e-06
3.52291378e-01,2.37425000e-06
3.52287500e-01,2.37435000e-06
3.52286495e-01,2.37445000e-06
3.52282636e-01,2.37455000e-06
3.52281650e-01,2.37465000e-06
3.52277810e-01,2.37475000e-06
3.52276843e-01,2.37485000e-06
3.52273023e-01,2.37495000e-06
3.52272073e-01,2.37505000e-06
3.52268273e-01,2.37515000e-06
3.52267343e-01,2.37525000e-06
3.52263561e-01,2.37535000e-06
3.52262650e-01,2.37545000e-06
3.52258888e-01,2.37555000e-06
3.52257996e-01,2.37565000e-06
3.52254254e-01,2.37575000e-06
3.52253381e-01,2.37585000e-06
3.52249658e-01,2.37595000e-06
3.52248805e-01,2.37605000e-06
3.52245102e-01,2.37615000e-06
3.52244267e-01,2.37625000e-06
3.52240584e-01,2.37635000e-06
3.52239769e-01,2.37645000e-06
3.52236106e-01,2.37655000e-06
3.52235311e-01,2.37665000e-06
3.52231667e-01,2.37675000e-06
3.52230891e-01,2.37685000e-06
3.52227268e-01,2.37695000e-06
3.52226512e-01,2.37705000e-06
3.52222909e-01,2.37715000e-06
3.52222172e-01,2.37725000e-06
3.52218589e-01,2.37735000e-06
3.52217872e-01,2.37745000e-06
3.52214310e-01,2.37755000e-06
3.52213613e-01,2.37765000e-06
3.52210070e-01,2.37775000e-06
3.52209394e-01,2.37785000e-06
3.52205872e-01,2.37795000e-06
3.52205215e-01,2.37805000e-06
3.52201714e-01,2.37815000e-06
3.52201077e-01,2.37825000e-06
3.52197597e-01,2.37835000e-06
3.52196980e-01,2.37845000e-06
3.52193520e-01,2.37855000e-06
3.52192925e-01,2.37865000e-06
3.52189485e-01,2.37875000e-06
3.52188910e-01,2.37885000e-06
3.52185491e-01,2.37895000e-06
3.52184937e-01,2.37905000e-06
